owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of the Interior,Department of the Interior,FY2023P12,014-8369,"Gifts and Bequest, Take Pride in America, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,63094.85,0,0,0,0,0,0,63094.85,0,0,63094.85,0,63094.85,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-8370,"Oil Spill Research, Bureau of Safety and Environmental Enforcement, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,14596372.76,529634.04,15099000,0,0,167.47,167.47,30225174.27,11370333.6,529634.04,18854840.67,14323061.39,30225174.27,2023-11-13
Department of the Interior,Department of the Interior,FY2023P12,014-8562,"Contributed Funds, Geological Survey, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,3077453.75,9573.92,655172.75,0,0,0,0,3742200.42,770744.98,9573.92,2971455.44,782814.26,3742200.42,2023-11-13
Department of Justice,Department of Justice,FY2023P12,015-0100,"Salaries and Expenses, Foreign Claims Settlement Commission, Justice",Department of Justice,International Affairs,Conduct of foreign affairs,2638893.74,-509401.59,2504000,0,0,92264.38,92264.38,4725756.53,2098362.82,40704.88,2627393.71,1993917.46,4725756.53,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0104,"Payment of Vietnam and U.S.S. Pueblo Prisoner of War Claims, Foreign Claims Settlement Commission, Justice",Department of Justice,International Affairs,Conduct of foreign affairs,17970.99,0,0,0,0,0,0,17970.99,0,0,17970.99,0,17970.99,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0128,"Salaries and Expenses, General Legal Activities, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,159938345.33,66997526.12,1139000000,0,0,365340203.25,365340203.25,1731276074.7,1571573568.07,69622484.86,159702506.63,1456622140.18,1731276074.7,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0129,"Salaries and Expenses, General Administration, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,107202492.75,-358657.97,144000000,0,0,21264980.15,21264980.15,272108814.93,184557869.48,11990998.47,87550945.45,170926471.23,272108814.93,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0132,"Tactical Law Enforcement Wireless Communications, General Administration, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,0,0,0,0,0,0,0,0,0,0,0,266996.56,0,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0133,"Construction, United States Marshals Service, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,6491003.2,1002789.68,18000000,0,0,0,0,25493792.88,23373046.94,1002789.68,2120745.94,13168949.8,25493792.88,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0134,"Justice Information Sharing Technology, General Administration, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,48187412.64,6712294.13,137998085.83,0,0,16262491.44,16262491.44,209160284.04,125233726.14,1712294.13,83926557.9,89955643.71,209160284.04,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0139,"Victims Compensation Fund, General Legal Activities, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,0,816109.32,1762131985.17,0,0,0,0,1762948094.49,1762948094.49,816109.32,0,1766258147.36,1762948094.49,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0200,"Salaries and Expenses, Federal Bureau of Investigation, Justice",Department of Justice,National Defense,Defense-related activities,1134697659.29,227795402.88,10650683882,0,0,1266838798.48,1266838798.48,13280015742.65,12205358831.12,249675158.6,1074656911.53,11788708454.43,13280015742.65,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0203,"Construction, Federal Bureau of Investigation, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,1795901726.49,9471402.28,707084500,0,0,0,0,2512457628.77,542841309.83,9471402.28,1969616318.94,255783597.23,2512457628.77,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0311,"Fees and Expenses of Witnesses, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,223798325.42,71813914.71,254610000,0,0,0,0,550222240.13,387479701.86,71813914.71,162742538.27,263665092.52,550222240.13,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0319,"Salaries and Expenses, Antitrust Division, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,45896433.43,5761635.19,53185917.5,0,0,173501478.43,173501478.43,278345464.55,222071433.55,5761635.19,56274031,216583369.01,278345464.55,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0322,"Salaries and Expenses, United States Attorneys, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,246575329.15,24801603.1,2632928247,0,0,144482380.07,144482380.07,3048787559.32,2849386637.36,71486110.67,199400921.96,2663406814.04,3048787559.32,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0323,"Interagency Crime and Drug Enforcement, Interagency Law Enforcement, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,44450762.32,7297155.82,550458000,0,0,-2265074.48,-2265074.48,599940843.66,553355242.1,13890491.95,46585601.56,548044060.83,599940843.66,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0324,"Salaries and Expenses, United States Marshals Service, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,53425136.16,41879839.12,1714060753,0,0,35997380.19,35997380.19,1845363108.47,1795159417.27,42658654.23,50203691.2,1691423237.71,1845363108.47,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0327,"Independent Counsel, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,1194726.95,-1192226.95,19201816.43,0,0,0,0,19204316.43,19204316.43,261216.34,0,11278722.24,19204316.43,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0328,"Office of Inspector General, General Administration, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,28351328.73,2244815.74,149800000,0,0,15564336.07,15564336.07,195960480.54,169199922.09,4373658.84,26760558.45,153433977.44,195960480.54,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0333,"Payment to the Radiation Exposure Compensation Trust Fund, Justice",Department of Justice,National Defense,Defense-related activities,0,0,50000000,0,0,0,0,50000000,50000000,0,0,50000000,50000000,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0339,"Executive Office for Immigration Review, General Administration, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,55003837.39,25095881.98,860000000,0,0,4647055.52,4647055.52,944746774.89,875123869.03,25213836.48,69622905.86,818017828.73,944746774.89,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0401,"Research, Evaluation, and Statistics, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,57155436.67,15363019.55,184658952.22,0,0,348150828.44,348150828.44,605328236.88,516843870.97,15363019.55,88484365.91,457706058.58,605328236.88,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0403,"Public Safety Officers Benefits, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,48496449.52,3664048.97,270492677.91,0,0,0,0,322653176.4,258767564.36,3664048.97,63885612.04,213658374.12,322653176.4,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,767656838.12,143549958.43,2581716632.28,0,0,1316774.02,1316774.02,3494240202.85,3032491990.8,143549958.43,461748212.05,1979404525.14,3494240202.85,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0405,"Juvenile Justice Programs, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,104459848.33,8824782.36,385654415.5,0,0,6750000,6750000,505689046.19,433192758.32,8824782.36,72496287.87,336881369.26,505689046.19,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0406,"Community Oriented Policing Services, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,41912935.34,36211660.03,618355000,0,0,1636410.16,1636410.16,698116005.53,656807313.37,36211660.03,41308692.16,342434774.05,698116005.53,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0409,"Violence Against Women Prevention and Prosecution Programs, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,81757482.81,19772034.99,682500000,0,0,12013934,12013934,796043451.8,670478654.47,19772034.99,125564797.33,485763853.21,796043451.8,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0500,"Salaries and Expenses, Community Relations Service, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,9328914.23,-553904.14,23724000,0,0,0,0,32499010.09,23194375.58,443030.96,9304634.51,19342678.6,32499010.09,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0700,"Salaries and Expenses, Bureau of Alcohol, Tobacco, Firearms and Explosives, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,176303019.39,37122219.16,1672263957,0,0,48795190.39,48795190.39,1934484385.94,1764360140.49,37541167.28,170124245.45,1638488734.03,1934484385.94,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-0720,"Construction, Bureau of Alcohol, Tobacco, Firearms and Explosives, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,0,0,75000000,0,0,0,0,75000000,0,0,75000000,0,75000000,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-1003,"Buildings and Facilities, Federal Prison System, Justice",Department of Justice,Administration of Justice,Federal correctional activities,1132815569.03,3949949.66,309900000,0,0,0,0,1446665518.69,669183313.4,2773135.61,777482205.29,90151597.29,1446665518.69,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-1020,"Federal Prisoner Detention, United States Marshals Service, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,38379275.5,11737572.33,2177789000,0,0,304793,304793,2228210640.83,2195782804.42,11737572.33,32427836.41,2277602610.72,2228210640.83,2023-11-20
Department of Justice,Department of Health and Human Services;Department of Justice,FY2023P12,015-1060,"Salaries and Expenses, Federal Prison System",Department of Justice,Administration of Justice,Federal correctional activities,596409236.23,203011068.55,8362688000,0,0,18166809.67,18166809.67,9180275114.45,8651368380.38,336669400.88,528906734.07,8414180636.52,9180275114.45,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-1061,"Salaries and Expenses, United States Parole Commission, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,8643029.43,-480813.6,14591000,0,0,0,0,22753215.83,10760517.01,250793.6,11992698.82,10068360.73,22753215.83,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-1100,"Salaries and Expenses, Drug Enforcement Administration, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,151917422.64,106625289.81,2586437823,0,0,27839580.69,27839580.69,2872820116.14,2696371007.06,111073935.1,176449109.08,2582030901.78,2872820116.14,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-1101,"Construction, Drug Enforcement Administration, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,17276463.69,0,0,0,0,0,0,17276463.69,0,0,17276463.69,0,17276463.69,2023-11-20
Department of Justice,Department of Justice,FY2023P12,015-1300,"Salaries and Expenses, National Security Division, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,39641402.71,3863782.54,133512000,0,0,5473332.48,5473332.48,182490517.73,132492082.5,3913782.54,49998435.23,122948544.78,182490517.73,2023-11-20
